,Pais,PIB,PIB Anual,PIB Trimestral,Taxa de Juros,Taxa de Inflação,Taxa de Desemprego,Orçamento do Governo,Dívida/PIB,Transações Correntes,População,Latitude,Longitude
0,Germany,4223,1.7,0.1,1.25,10.0,5.5,-3.7,69.3,7.4,83.16,51.1657,10.4515
1,United Kingdom,3187,4.4,0.2,2.25,9.9,3.5,-6.0,95.9,-2.6,67.53,55.3781,-3.436
2,France,2937,4.2,0.5,1.25,5.6,7.4,-6.5,112.9,0.4,67.63,46.2276,2.2137
3,Italy,2100,5.0,1.1,1.25,8.9,7.8,-7.2,150.8,2.5,59.24,41.8719,12.5674
4,Russia,1776,-4.1,-0.8,7.5,13.7,3.8,0.8,18.2,6.8,145.55,61.524,105.3188
5,Spain,1425,6.8,1.5,1.25,9.0,12.48,-6.9,118.4,0.9,47.4,40.4637,-3.7492
6,Netherlands,1018,5.1,2.6,1.25,14.5,3.8,-2.6,52.4,9.0,17.48,52.1326,5.2913
7,Turkey,815,7.6,2.1,12.0,83.45,9.6,-2.7,42.0,-1.7,84.68,38.9637,35.2433
8,Switzerland,813,2.8,0.3,0.5,3.3,1.9,-0.7,41.4,9.3,8.67,46.8182,8.2275
9,Poland,674,5.5,-2.1,6.75,17.2,4.8,-1.9,53.8,-0.7,37.84,51.9194,19.1451
10,Sweden,627,3.8,0.9,1.75,9.8,6.6,-0.2,36.7,5.3,10.38,60.1282,18.6435
11,Belgium,600,3.3,0.2,1.25,11.27,5.8,-5.5,108.2,-0.4,11.55,50.5039,4.4699
12,Ireland,499,11.1,1.8,1.25,8.7,4.3,-0.1,56.0,13.9,5.01,53.4129,-8.2439
13,Norway,482,3.9,0.7,2.25,6.9,3.3,9.1,43.2,15.0,5.43,60.472,8.4689
14,Austria,477,6.0,1.5,1.25,10.5,5.7,-5.9,82.8,-0.5,8.93,47.5162,14.5501
15,Denmark,397,3.9,0.9,0.65,10.0,2.7,2.3,36.7,8.8,5.84,56.2639,9.5018
16,Finland,299,3.0,0.9,1.25,7.6,6.7,-2.6,65.8,0.9,5.55,61.9241,25.7482
17,Romania,284,5.1,1.8,6.25,15.9,5.1,-7.1,48.8,-7.0,19.2,45.9432,24.9668
18,Czech Republic,282,3.7,0.5,7.0,18.0,3.5,-5.9,41.9,-0.8,10.5,49.8175,15.473
19,Portugal,250,7.1,0.0,1.25,9.3,5.7,-2.8,127.4,-1.1,10.3,39.3999,-8.2245
20,Greece,216,7.7,1.2,1.25,12.0,12.2,-7.4,193.3,-5.9,10.68,39.0742,21.8243
21,Ukraine,200,-37.2,-19.2,25.0,24.6,10.6,-3.4,48.9,-1.3,41.0,48.3794,31.1656
22,Hungary,182,6.5,1.0,13.0,20.1,3.4,-6.8,76.8,-2.9,9.73,47.1625,19.5033
23,Slovakia,115,1.8,0.5,1.25,14.07,6.1,-6.2,63.1,-2.0,5.4,48.669,19.699
24,Luxembourg,87,1.6,-0.5,1.25,6.9,4.8,0.9,24.4,4.8,0.63,49.8153,6.1296
25,Bulgaria,80,3.96,0.8,0.0,17.7,4.3,-4.1,20.7,-0.4,6.84,42.7339,25.4858
26,Croatia,68,7.7,2.0,2.5,12.3,6.3,-2.9,79.8,3.1,4.04,45.1,15.2
27,Belarus,68,-0.4,,12.0,17.4,3.9,-0.3,33.5,-2.7,9.25,53.7098,27.9534
28,Lithuania,66,1.8,-0.5,1.25,24.1,8.6,-1.0,44.3,1.4,2.8,55.1694,23.8813
29,Serbia,63,3.9,-0.5,4.0,14.0,8.9,-4.6,56.5,-4.4,6.87,44.0165,21.0059
30,Slovenia,62,8.2,0.9,1.25,10.0,5.6,-5.2,74.7,3.3,2.11,46.1512,14.9955
31,Latvia,39,2.9,-1.0,1.25,22.2,6.6,-7.3,44.8,-2.9,1.89,56.8796,24.6032
32,Estonia,36,0.6,-1.3,1.25,23.7,5.8,-2.4,18.1,-1.6,1.33,58.5953,25.0136
33,Cyprus,28,6.1,0.6,1.25,8.74,8.6,-1.7,103.6,-7.2,0.9,35.1264,33.4299
34,Iceland,25,6.1,3.9,5.75,9.3,4.5,-8.9,75.0,-2.7,0.37,64.9631,-19.0208
35,Bosnia and Herzegovina,23,5.9,1.5,3.63,16.8,30.17,-0.3,24.8,-2.1,3.46,43.9159,17.6791
36,Albania,18,2.23,-1.16,2.25,8.1,11.1,-4.8,78.1,-7.7,2.83,41.1533,20.1683
37,Malta,17,8.9,1.0,1.25,7.0,2.9,-8.0,57.0,-4.9,0.52,35.9375,14.3754
38,Moldova,14,-0.9,-2.3,21.5,33.97,2.4,-8.0,32.1,-11.6,2.6,47.4116,28.3699
39,Kosovo,9,2.14,,,12.7,20.5,-0.9,23.34,-8.6,1.77,42.6026,21.1655
